,date,county,state,fips,cases,deaths,daily
1207,2020-03-11,Miami-Dade,Florida,12086.0,1,0.0,1.0
1418,2020-03-12,Miami-Dade,Florida,12086.0,2,0.0,1.0
1684,2020-03-13,Miami-Dade,Florida,12086.0,8,0.0,6.0
2390,2020-03-15,Miami-Dade,Florida,12086.0,13,0.0,5.0
2827,2020-03-16,Miami-Dade,Florida,12086.0,23,0.0,10.0
3311,2020-03-17,Miami-Dade,Florida,12086.0,43,0.0,20.0
3869,2020-03-18,Miami-Dade,Florida,12086.0,77,0.0,34.0
4538,2020-03-19,Miami-Dade,Florida,12086.0,101,0.0,24.0
5317,2020-03-20,Miami-Dade,Florida,12086.0,124,0.0,23.0
6247,2020-03-21,Miami-Dade,Florida,12086.0,170,0.0,46.0
7287,2020-03-22,Miami-Dade,Florida,12086.0,228,0.0,58.0
8433,2020-03-23,Miami-Dade,Florida,12086.0,277,0.0,49.0
9678,2020-03-24,Miami-Dade,Florida,12086.0,365,0.0,88.0
11053,2020-03-25,Miami-Dade,Florida,12086.0,489,0.0,124.0
12601,2020-03-26,Miami-Dade,Florida,12086.0,653,0.0,164.0
14271,2020-03-27,Miami-Dade,Florida,12086.0,869,2.0,216.0
16056,2020-03-28,Miami-Dade,Florida,12086.0,1121,3.0,252.0
17949,2020-03-29,Miami-Dade,Florida,12086.0,1471,3.0,350.0
19930,2020-03-30,Miami-Dade,Florida,12086.0,1700,4.0,229.0
22008,2020-03-31,Miami-Dade,Florida,12086.0,2123,7.0,423.0
24170,2020-04-01,Miami-Dade,Florida,12086.0,2415,11.0,292.0
26400,2020-04-02,Miami-Dade,Florida,12086.0,2885,20.0,470.0
28703,2020-04-03,Miami-Dade,Florida,12086.0,3363,25.0,478.0
31063,2020-04-04,Miami-Dade,Florida,12086.0,3889,31.0,526.0
33469,2020-04-05,Miami-Dade,Florida,12086.0,4145,31.0,256.0
35915,2020-04-06,Miami-Dade,Florida,12086.0,4670,41.0,525.0
38406,2020-04-07,Miami-Dade,Florida,12086.0,5125,47.0,455.0
40950,2020-04-08,Miami-Dade,Florida,12086.0,5460,50.0,335.0
43524,2020-04-09,Miami-Dade,Florida,12086.0,5897,66.0,437.0
46126,2020-04-10,Miami-Dade,Florida,12086.0,6299,84.0,402.0
48756,2020-04-11,Miami-Dade,Florida,12086.0,6757,93.0,458.0
51417,2020-04-12,Miami-Dade,Florida,12086.0,7057,97.0,300.0
54097,2020-04-13,Miami-Dade,Florida,12086.0,7458,109.0,401.0
56789,2020-04-14,Miami-Dade,Florida,12086.0,7711,143.0,253.0
59497,2020-04-15,Miami-Dade,Florida,12086.0,8066,155.0,355.0
62216,2020-04-16,Miami-Dade,Florida,12086.0,8325,183.0,259.0
64949,2020-04-17,Miami-Dade,Florida,12086.0,8823,195.0,498.0
67697,2020-04-18,Miami-Dade,Florida,12086.0,9044,198.0,221.0
70459,2020-04-19,Miami-Dade,Florida,12086.0,9353,207.0,309.0
73228,2020-04-20,Miami-Dade,Florida,12086.0,9656,223.0,303.0
76004,2020-04-21,Miami-Dade,Florida,12086.0,10055,233.0,399.0
78788,2020-04-22,Miami-Dade,Florida,12086.0,10152,240.0,97.0
81582,2020-04-23,Miami-Dade,Florida,12086.0,10587,270.0,435.0
84382,2020-04-24,Miami-Dade,Florida,12086.0,10925,287.0,338.0
87190,2020-04-25,Miami-Dade,Florida,12086.0,11004,295.0,79.0
90007,2020-04-26,Miami-Dade,Florida,12086.0,11350,301.0,346.0
92825,2020-04-27,Miami-Dade,Florida,12086.0,11569,302.0,219.0
95657,2020-04-28,Miami-Dade,Florida,12086.0,11830,324.0,261.0
98502,2020-04-29,Miami-Dade,Florida,12086.0,11926,338.0,96.0
101352,2020-04-30,Miami-Dade,Florida,12086.0,12063,352.0,137.0
104207,2020-05-01,Miami-Dade,Florida,12086.0,12388,358.0,325.0
107072,2020-05-02,Miami-Dade,Florida,12086.0,12631,367.0,243.0
109941,2020-05-03,Miami-Dade,Florida,12086.0,12774,369.0,143.0
112816,2020-05-04,Miami-Dade,Florida,12086.0,13091,378.0,317.0
115699,2020-05-05,Miami-Dade,Florida,12086.0,13223,407.0,132.0
118659,2020-05-06,Miami-Dade,Florida,12086.0,13370,432.0,147.0
121628,2020-05-07,Miami-Dade,Florida,12086.0,13584,454.0,214.0
124607,2020-05-08,Miami-Dade,Florida,12086.0,13663,468.0,79.0
127594,2020-05-09,Miami-Dade,Florida,12086.0,13840,482.0,177.0
130585,2020-05-10,Miami-Dade,Florida,12086.0,14006,487.0,166.0
133576,2020-05-11,Miami-Dade,Florida,12086.0,14166,490.0,160.0
136565,2020-05-12,Miami-Dade,Florida,12086.0,14384,505.0,218.0
139556,2020-05-13,Miami-Dade,Florida,12086.0,14467,518.0,83.0
142552,2020-05-14,Miami-Dade,Florida,12086.0,14741,535.0,274.0
145552,2020-05-15,Miami-Dade,Florida,12086.0,15010,548.0,269.0
148555,2020-05-16,Miami-Dade,Florida,12086.0,15365,559.0,355.0
151564,2020-05-17,Miami-Dade,Florida,12086.0,15657,561.0,292.0
154576,2020-05-18,Miami-Dade,Florida,12086.0,15863,566.0,206.0
157592,2020-05-19,Miami-Dade,Florida,12086.0,15941,578.0,78.0
160618,2020-05-20,Miami-Dade,Florida,12086.0,16033,578.0,92.0
163646,2020-05-21,Miami-Dade,Florida,12086.0,16366,602.0,333.0
166679,2020-05-22,Miami-Dade,Florida,12086.0,16521,614.0,155.0
169716,2020-05-23,Miami-Dade,Florida,12086.0,16693,629.0,172.0
172757,2020-05-24,Miami-Dade,Florida,12086.0,16844,631.0,151.0
175800,2020-05-25,Miami-Dade,Florida,12086.0,17040,633.0,196.0
178844,2020-05-26,Miami-Dade,Florida,12086.0,17167,633.0,127.0
181888,2020-05-27,Miami-Dade,Florida,12086.0,17224,655.0,57.0
184942,2020-05-28,Miami-Dade,Florida,12086.0,17395,669.0,171.0
187998,2020-05-29,Miami-Dade,Florida,12086.0,17640,685.0,245.0
191063,2020-05-30,Miami-Dade,Florida,12086.0,17825,700.0,185.0
194130,2020-05-31,Miami-Dade,Florida,12086.0,17999,700.0,174.0
197200,2020-06-01,Miami-Dade,Florida,12086.0,18138,702.0,139.0
200273,2020-06-02,Miami-Dade,Florida,12086.0,18223,722.0,85.0
203349,2020-06-03,Miami-Dade,Florida,12086.0,18455,731.0,232.0
206429,2020-06-04,Miami-Dade,Florida,12086.0,18778,746.0,323.0
209510,2020-06-05,Miami-Dade,Florida,12086.0,19055,760.0,277.0
212595,2020-06-06,Miami-Dade,Florida,12086.0,19298,765.0,243.0
215682,2020-06-07,Miami-Dade,Florida,12086.0,19546,765.0,248.0
218773,2020-06-08,Miami-Dade,Florida,12086.0,19755,767.0,209.0
221868,2020-06-09,Miami-Dade,Florida,12086.0,19979,774.0,224.0
224963,2020-06-10,Miami-Dade,Florida,12086.0,20276,784.0,297.0
228065,2020-06-11,Miami-Dade,Florida,12086.0,20547,798.0,271.0
231168,2020-06-12,Miami-Dade,Florida,12086.0,20871,809.0,324.0
234274,2020-06-13,Miami-Dade,Florida,12086.0,21632,822.0,761.0
237381,2020-06-14,Miami-Dade,Florida,12086.0,21916,825.0,284.0
240489,2020-06-15,Miami-Dade,Florida,12086.0,22196,826.0,280.0
243600,2020-06-16,Miami-Dade,Florida,12086.0,22740,847.0,544.0
246713,2020-06-17,Miami-Dade,Florida,12086.0,23272,850.0,532.0
249825,2020-06-18,Miami-Dade,Florida,12086.0,23853,859.0,581.0
252940,2020-06-19,Miami-Dade,Florida,12086.0,24375,864.0,522.0
256059,2020-06-20,Miami-Dade,Florida,12086.0,25079,874.0,704.0
259186,2020-06-21,Miami-Dade,Florida,12086.0,25789,884.0,710.0
262313,2020-06-22,Miami-Dade,Florida,12086.0,26238,884.0,449.0
265441,2020-06-23,Miami-Dade,Florida,12086.0,26821,902.0,583.0
268571,2020-06-24,Miami-Dade,Florida,12086.0,27778,926.0,957.0
271707,2020-06-25,Miami-Dade,Florida,12086.0,28663,935.0,885.0
274847,2020-06-26,Miami-Dade,Florida,12086.0,30195,946.0,1532.0
277995,2020-06-27,Miami-Dade,Florida,12086.0,31561,947.0,1366.0
281142,2020-06-28,Miami-Dade,Florida,12086.0,33713,953.0,2152.0
284288,2020-06-29,Miami-Dade,Florida,12086.0,35221,975.0,1508.0
287434,2020-06-30,Miami-Dade,Florida,12086.0,36819,991.0,1598.0
290585,2020-07-01,Miami-Dade,Florida,12086.0,37960,1000.0,1141.0
293739,2020-07-02,Miami-Dade,Florida,12086.0,40264,1018.0,2304.0
296895,2020-07-03,Miami-Dade,Florida,12086.0,42310,1034.0,2046.0
300057,2020-07-04,Miami-Dade,Florida,12086.0,44728,1038.0,2418.0
303221,2020-07-05,Miami-Dade,Florida,12086.0,47010,1043.0,2282.0
306385,2020-07-06,Miami-Dade,Florida,12086.0,48991,1051.0,1981.0
309553,2020-07-07,Miami-Dade,Florida,12086.0,51057,1057.0,2066.0
312723,2020-07-08,Miami-Dade,Florida,12086.0,53973,1068.0,2916.0
315898,2020-07-09,Miami-Dade,Florida,12086.0,55960,1092.0,1987.0
319071,2020-07-10,Miami-Dade,Florida,12086.0,58340,1118.0,2380.0
322250,2020-07-11,Miami-Dade,Florida,12086.0,60867,1132.0,2527.0
325431,2020-07-12,Miami-Dade,Florida,12086.0,64443,1139.0,3576.0
328617,2020-07-13,Miami-Dade,Florida,12086.0,67712,1143.0,3269.0
331804,2020-07-14,Miami-Dade,Florida,12086.0,69802,1175.0,2090.0
334997,2020-07-15,Miami-Dade,Florida,12086.0,72316,1202.0,2514.0
338192,2020-07-16,Miami-Dade,Florida,12086.0,75424,1246.0,3108.0
341389,2020-07-17,Miami-Dade,Florida,12086.0,77866,1270.0,2442.0
344588,2020-07-18,Miami-Dade,Florida,12086.0,81025,1274.0,3159.0
347788,2020-07-19,Miami-Dade,Florida,12086.0,84237,1302.0,3212.0
350989,2020-07-20,Miami-Dade,Florida,12086.0,87034,1309.0,2797.0
354191,2020-07-21,Miami-Dade,Florida,12086.0,89556,1325.0,2522.0
357394,2020-07-22,Miami-Dade,Florida,12086.0,92344,1342.0,2788.0
360599,2020-07-23,Miami-Dade,Florida,12086.0,95067,1354.0,2723.0
363806,2020-07-24,Miami-Dade,Florida,12086.0,98429,1370.0,3362.0
367013,2020-07-25,Miami-Dade,Florida,12086.0,101853,1379.0,3424.0
370223,2020-07-26,Miami-Dade,Florida,12086.0,104754,1388.0,2901.0
373435,2020-07-27,Miami-Dade,Florida,12086.0,107314,1404.0,2560.0
376649,2020-07-28,Miami-Dade,Florida,12086.0,110351,1425.0,3037.0
379866,2020-07-29,Miami-Dade,Florida,12086.0,113142,1455.0,2791.0
383083,2020-07-30,Miami-Dade,Florida,12086.0,115915,1515.0,2773.0
386301,2020-07-31,Miami-Dade,Florida,12086.0,118461,1611.0,2546.0
389518,2020-08-01,Miami-Dade,Florida,12086.0,121206,1647.0,2745.0
392735,2020-08-02,Miami-Dade,Florida,12086.0,122689,1669.0,1483.0
395951,2020-08-03,Miami-Dade,Florida,12086.0,123643,1694.0,954.0
399167,2020-08-04,Miami-Dade,Florida,12086.0,124758,1724.0,1115.0
402383,2020-08-05,Miami-Dade,Florida,12086.0,125948,1775.0,1190.0
405601,2020-08-06,Miami-Dade,Florida,12086.0,127676,1784.0,1728.0
408821,2020-08-07,Miami-Dade,Florida,12086.0,129408,1809.0,1732.0
412040,2020-08-08,Miami-Dade,Florida,12086.0,131216,1838.0,1808.0
415260,2020-08-09,Miami-Dade,Florida,12086.0,132460,1865.0,1244.0
418481,2020-08-10,Miami-Dade,Florida,12086.0,133622,1874.0,1162.0
421702,2020-08-11,Miami-Dade,Florida,12086.0,135129,1909.0,1507.0
424923,2020-08-12,Miami-Dade,Florida,12086.0,139270,1939.0,4141.0
428147,2020-08-13,Miami-Dade,Florida,12086.0,140983,1954.0,1713.0
431375,2020-08-14,Miami-Dade,Florida,12086.0,142661,1999.0,1678.0
434600,2020-08-15,Miami-Dade,Florida,12086.0,144406,2047.0,1745.0
437826,2020-08-16,Miami-Dade,Florida,12086.0,145306,2057.0,900.0
441052,2020-08-17,Miami-Dade,Florida,12086.0,146025,2081.0,719.0
444278,2020-08-18,Miami-Dade,Florida,12086.0,146989,2126.0,964.0
447505,2020-08-19,Miami-Dade,Florida,12086.0,148092,2166.0,1103.0
450733,2020-08-20,Miami-Dade,Florida,12086.0,149161,2185.0,1069.0
453961,2020-08-21,Miami-Dade,Florida,12086.0,150304,2219.0,1143.0
457189,2020-08-22,Miami-Dade,Florida,12086.0,151213,2238.0,909.0
460416,2020-08-23,Miami-Dade,Florida,12086.0,151985,2243.0,772.0
463645,2020-08-24,Miami-Dade,Florida,12086.0,152611,2253.0,626.0
466874,2020-08-25,Miami-Dade,Florida,12086.0,153384,2277.0,773.0
470103,2020-08-26,Miami-Dade,Florida,12086.0,154134,2317.0,750.0
473335,2020-08-27,Miami-Dade,Florida,12086.0,154756,2346.0,622.0
476568,2020-08-28,Miami-Dade,Florida,12086.0,155417,2372.0,661.0
479801,2020-08-29,Miami-Dade,Florida,12086.0,156037,2399.0,620.0
483035,2020-08-30,Miami-Dade,Florida,12086.0,156558,2403.0,521.0
486270,2020-08-31,Miami-Dade,Florida,12086.0,156909,2437.0,351.0
489503,2020-09-01,Miami-Dade,Florida,12086.0,159058,2537.0,2149.0
492736,2020-09-02,Miami-Dade,Florida,12086.0,159399,2554.0,341.0
495970,2020-09-03,Miami-Dade,Florida,12086.0,159977,2600.0,578.0
499203,2020-09-04,Miami-Dade,Florida,12086.0,160468,2632.0,491.0
502437,2020-09-05,Miami-Dade,Florida,12086.0,161017,2650.0,549.0
505671,2020-09-06,Miami-Dade,Florida,12086.0,161362,2655.0,345.0
508903,2020-09-07,Miami-Dade,Florida,12086.0,161636,2658.0,274.0
512136,2020-09-08,Miami-Dade,Florida,12086.0,162025,2666.0,389.0
515369,2020-09-09,Miami-Dade,Florida,12086.0,162432,2740.0,407.0
518604,2020-09-10,Miami-Dade,Florida,12086.0,162893,2789.0,461.0
521841,2020-09-11,Miami-Dade,Florida,12086.0,163374,2836.0,481.0
525077,2020-09-12,Miami-Dade,Florida,12086.0,163789,2882.0,415.0
528313,2020-09-13,Miami-Dade,Florida,12086.0,164085,2880.0,296.0
531550,2020-09-14,Miami-Dade,Florida,12086.0,164298,2894.0,213.0
534785,2020-09-15,Miami-Dade,Florida,12086.0,164687,2923.0,389.0
538021,2020-09-16,Miami-Dade,Florida,12086.0,165146,2955.0,459.0
541258,2020-09-17,Miami-Dade,Florida,12086.0,165594,2977.0,448.0
544494,2020-09-18,Miami-Dade,Florida,12086.0,165979,3027.0,385.0
547732,2020-09-19,Miami-Dade,Florida,12086.0,166515,3055.0,536.0
550971,2020-09-20,Miami-Dade,Florida,12086.0,166880,3055.0,365.0
554210,2020-09-21,Miami-Dade,Florida,12086.0,167152,3055.0,272.0
557447,2020-09-22,Miami-Dade,Florida,12086.0,167514,3085.0,362.0
560683,2020-09-23,Miami-Dade,Florida,12086.0,167879,3127.0,365.0
563923,2020-09-24,Miami-Dade,Florida,12086.0,168271,3163.0,392.0
567163,2020-09-25,Miami-Dade,Florida,12086.0,168774,3202.0,503.0
570405,2020-09-26,Miami-Dade,Florida,12086.0,169143,3231.0,369.0
573647,2020-09-27,Miami-Dade,Florida,12086.0,169425,3231.0,282.0
576890,2020-09-28,Miami-Dade,Florida,12086.0,169465,3228.0,40.0
580131,2020-09-29,Miami-Dade,Florida,12086.0,170085,3243.0,620.0
